"nome","resumo","coordenador"
"SOLDAGEM POR RESISTÊNCIA: DES. DE FER. COMP. EDUCATIVA PARA ENSINO E OTIMIZAÇÃO DO PROCESSO","Em breve este conteúdo estará disponível.","Alexandre Alvarenga Palmeira "
"MONITORIA DE IPRJ02-11876 - DESENHO TÉCNICO I - R","Em breve este conteúdo estará disponível.","Damiano Da Silva Militão "
"MONITORIA DE IPRJ02-11896 - MECÂNICA DOS MATERIAIS II - R","Em breve este conteúdo estará disponível.","Damiano Da Silva Militão "
"PLANO DE ATRATIVIDADE E AUXÍLIO ACADÊMICO PARA ALUNOS DE GRADUAÇÃO DO IPRJ","Em breve este conteúdo estará disponível.","Damiano Da Silva Militão "
"UTILIZAÇÃO DE MICROCONTROLADORES E MODELAGEM COMPUTACIONAL NA EXECUÇÃO DE PROJETOS DE ENGENHARIA","Em breve este conteúdo estará disponível.","Damiano Da Silva Militão "
"JORNADAS DE FÍSICA E MATEMÁTICA UTILIZANDO A EXPERIMENTAÇÃO E SOFTWARES LIVRES NAS ESCOLAS PÚBLICAS","Em breve este conteúdo estará disponível.","Enrique John Arias Chinga "
"ANALISE ESTRUCTURAL UTILIZANDO VIBRAÇÕES MECÂNICAS","Em breve este conteúdo estará disponível.","Enrique John Arias Chinga "
"MONITORIA DE METALURGIA FÍSICA","Em breve este conteúdo estará disponível.","Eustáquio De Souza Baêta Júnior "
"MONITORIA TECNOLOGIA MECÂNICA II","Em breve este conteúdo estará disponível.","Eustáquio De Souza Baêta Júnior "
"DESENVOLVIMENTO DE UM SISTEMA EM NÍVEL DE BANCADA PARA O ESTUDO DE CAVITAÇÃO DE UMA BOMBA CENTRÍFUGA","Em breve este conteúdo estará disponível.","Jhonny Oswaldo Huertas Flores "
"DESENVOLVIMENTO DE UM TORNO CNC DE PEQUENAS DIMENSÕES PARA APLICAÇÕES EDUCACIONAIS","Em breve este conteúdo estará disponível.","Julio Cesar Guimarães Tedesco "
"DESENVOLVIMENTO DE UM PROTÓTIPO DE MICRO REFRIGERADOR BASEADO NO EFEITO MAGNETOCALÓRICO","Em breve este conteúdo estará disponível.","Julio Cesar Guimarães Tedesco "
"MONITORIA PARA QUÍMICA DOS MATERIAIS R","Em breve este conteúdo estará disponível.","Leticia Dos Santos Aguilera "
"ENSINO ATIVO EM DINÂMICA DOS FLUIDOS COMPUTACIONAL","Em breve este conteúdo estará disponível.","Livia Flavia Carletti Jatoba "
"PARCERIA EMPRESA-UNIVERSIDADE NAS DISCIPLINAS DE GRADUAÇÃO: EXPERIÊNCIA DO TRABALHO DE ENGENHEIRO","Em breve este conteúdo estará disponível.","Luciana Ghussn "
"PROJEÇÃO E CONSTRUÇÃO DE FORNO POR INDUÇÃO MAGNÉTICA PARA O PROCESSAMENTO DE LIGAS AVANÇADAS","Em breve este conteúdo estará disponível.","Luis César Rodríguez Aliaga "
"ANÁLISE COMPARATIVA DE MÁQUINAS DE FLUXO","Em breve este conteúdo estará disponível.","Luiz Carlos Cordeiro Jr "
"EXPRESSÃO GRÁFICA NAS ENGENHARIAS","Em breve este conteúdo estará disponível.","Maria Victoria Cabrera Aguilera "
"UMA NOVA ABORD. P/ O ENSINO USINAGEM: FERRAMENTAS COMP. E APLICAÇÃO DE MET. ATIVAS DE APRENDIZAGEM","Em breve este conteúdo estará disponível.","Monique Osorio Talarico Da Conceicao "
"ESTUDO DE VIBRAÇÃO INDUZIDA POR DESPRENDIMENTO DE VÓRTICES E DETECÇÃO DE VAZAMENTO EM DUTOS","Em breve este conteúdo estará disponível.","Sergio Barros Da Cunha "
"CÁLCULO DIFERENCIAL E INTEGRAL I PARA ENGENHARIAS","Em breve este conteúdo estará disponível.","Sílvia Cristina Dias Pinto "
"FEN03-02845 LUBRIFICAÇÃO INDUSTRIAL","Em breve este conteúdo estará disponível.","Suzana Bottega Peripolli "
